language,glottocode,id_word,meaning_id,lemma,ipa,definition,morphology,annotator,pos,reference,meaning_ru,examples
Kubachi,kuba1248,1,1,аб // абдикIне,a-b//a-b-d-i-k'-n-e,"-лдил, -лла, ед.; дюгIзиб абдикIне холодная весна; абдикIнелла вахт весеннее время; абдикIне нуссаддил ачIе балхьвада весной мы сеем пшеницу. ♦Абла агьвай хьур фольк. весеннее дуновение ветерка. ♦АбдикIне сибта цIдиихь фольк. первый весенний фрукт.","-лдил, -лла, ед.",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",весна,дюгIзиб абдикIне холодная весна; абдикIнелла вахт весеннее время; абдикIне нуссаддил ачIе балхьвада весной мы сеем пшеницу. ♦Абла агьвай хьур фольк. весеннее дуновение ветерка. ♦АбдикIне сибта цIдиихь фольк. первый весенний фрукт.
Kubachi,kuba1248,2,1,аба,a-b-a,"-дил, -ла; абне; дила аба моя мать; абала ляв материнская ласка; ниссила аба гIяхсий сай наша мать добрая. ♦Абала шшихьла хатIа фольк. мамина красавица (букв. мамина тарелка с глазурью). ♦Абала адаме отчим (букв. муж матери).","-дил, -ла; абне",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",мать,дила аба моя мать; абала ляв материнская ласка; ниссила аба гIяхсий сай наша мать добрая. ♦Абала шшихьла хатIа фольк. мамина красавица (букв. мамина тарелка с глазурью). ♦Абала адаме отчим (букв. муж матери).
Kubachi,kuba1248,3,1,абаба,a-b-a-b-a,"-дил, -ла; абабне; йиккузий абаба любимaя бабушка; абаба йидажи бабушка ушла; абабадил тIулугI бецIай бабушка испекла хлеб.старая женщина;","-дил, -ла; абабне",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",бабушка по матери,йиккузий абаба любимaя бабушка; абаба йидажи бабушка ушла; абабадил тIулугI бецIай бабушка испекла хлеб.старая женщина;
Kubachi,kuba1248,4,2,абаба,a-b-a-b-a,♦Абабала аппахьус одуванчик (букв. аппахьус старой женщины).,,Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",старая женщина,♦Абабала аппахьус одуванчик (букв. аппахьус старой женщины).
Kubachi,kuba1248,5,1,абадихь,a-b-a-d-i-x,"-лидил, -ла, ед.; щихьжду абадихь счастливое материнство; абадихьли разил радуясь материнству; аттала ющилдил дамми пакшуд абадихь дакьай тетя стала хорошей матерью для меня (букв.она красиво выполнила материнство).","-лидил, -ла, ед.",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",материнство,щихьжду абадихь счастливое материнство; абадихьли разил радуясь материнству; аттала ющилдил дамми пакшуд абадихь дакьай тетя стала хорошей матерью для меня (букв.она красиво выполнила материнство).
Kubachi,kuba1248,6,1,абадулла-абадул,a-b-a-d-u-ll-a-a-b-a-d-u-l,абадулла-абадул хъуметикквид вечно не забуду; гIяхдихь бакьне абадулла-абадул гъанкалуга совершенное добро все время помнится (не забывается).,,Polina Khutkina,adv,"Magomedov, Saidov-Akkutta, 2016",вечно,абадулла-абадул хъуметикквид вечно не забуду; гIяхдихь бакьне абадулла-абадул гъанкалуга совершенное добро все время помнится (не забывается).
Kubachi,kuba1248,7,1,абатта,a-b-a-tt-a,"-дил, -ла; виккузив абатта любимый дедушка; абаттала урдин орден дедушки; дила абатта дахье ушкуллив викьул сав мой дедушка долго работает в школе.","-дил, -ла",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",дедушка по матери,виккузив абатта любимый дедушка; абаттала урдин орден дедушки; дила абатта дахье ушкуллив викьул сав мой дедушка долго работает в школе.
Kubachi,kuba1248,8,1,абауцц-е,a-b-a-u-cc-e,"-идил, -илла, абауцбе; хвалел абауцце старший дядя; абауцце чарсавхе дядя вернулся; ниссила абауцце гIюгъбуган гIячилла гIяхсив уста сав наш дядя хороший мастер по кубачинскому ремеслу.","-идил, -илла, абауцбе",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",дядя по матери,хвалел абауцце старший дядя; абауцце чарсавхе дядя вернулся; ниссила абауцце гIюгъбуган гIячилла гIяхсив уста сав наш дядя хороший мастер по кубачинскому ремеслу.
Kubachi,kuba1248,9,1,абахъаллаба // абахъалла аба,a-b-a-q-a-ll-a-b-a//a-b-a-q-a-ll-aa-b-a,"-дил, -ла; абахъаллаабне; см. абаба.","-дил, -ла; абахъаллаабне",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",бабушка по матери,см. абаба.
Kubachi,kuba1248,10,1,абахъаллатта // абахъалла атта,a-b-a-q-a-ll-a-tt-a//a-b-a-q-a-ll-aa-tt-a,"-дил, -ла, абахъаллаатне; см. абатта.","-дил, -ла, абахъаллаатне",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",дедушка по матери,см. абатта.
Kubachi,kuba1248,11,1,абдал,a-b-d-a-l,"-лидил, -лла, -те; абдалзивухъна умалишенный старик; абдал сечIултал ухадавукку безумец ничего не боится.","-лидил, -лла, -те",Polina Khutkina,adj,"Magomedov, Saidov-Akkutta, 2016",умалишенный,абдалзивухъна умалишенный старик; абдал сечIултал ухадавукку безумец ничего не боится.
Kubachi,kuba1248,12,1,абдал/бихв-и(й),a-b-d-a-l-/-b-i-χ-w-i-(-j-),"III; мн. I-II (/вихви, /йихви; /дихви), -е, -ул, -узив, -е; абдалвихви вевидище начал становиться безумным;абдалвихузив инсан балниццал какъай заболевшего психической болезнью уложили в больницу; сов. абдалбухи.","III; мн. I-II (/вихви, /йихви; /дихви), -е, -ул, -узив, -е",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",становиться безумным,абдалвихви вевидище начал становиться безумным;абдалвихузив инсан балниццал какъай заболевшего психической болезнью уложили в больницу; сов. абдалбухи.
