id,meaning_id,lemma,morphology,ipa,meaning_ru,examples,definition
1,1,аб // абдикiне,"-лдил, -лла, ед.",ab // abdikine,,дюгIзиб абдикIне холодная весна; абдикIнелла вахт весеннее время; абдикIне нуссаддил ачIе балхьвада весной мы сеем пшеницу; Абла агьвай хьур фольк; весеннее дуновение ветерка; АбдикIне сибта цIидихь фольк; первый весенний фрукт,весна; дюгIзиб абдикIне холодная весна; абдикIнелла вахт весеннее время; абдикIне нуссаддил ачIе балхьвада весной мы сеем пшеницу.Абла агьвай хьур фольк. весеннее дуновение ветерка.АбдикIне сибта цIидихь фольк. первый весенний фрукт.
2,1,аба,"-дил, -ла, абне",aba,,дила аба моя мать; абала ляв материнская ласка; ниссила аба гIяхсий сай наша мать добрая; Абала шшихъла хатIа фольк; мамина красавица (букв; мамина тарелка с глазурью); Абала адаме отчим (букв,мать; дила аба моя мать; абала ляв материнская ласка; ниссила аба гIяхсий сай наша мать добрая.Абала шшихъла хатIа фольк. мамина красавица (букв. мамина тарелка с глазурью).Абала адаме отчим (букв. муж матери).
4,1,абаба,"-дил, -ла, абабне ",ababa,,йиккузий абаба любимая бабушка; абаба йидажи бабушка ушла; абабадил тIулутI бецIай бабушка испекла хлеб,бабушка (по матери); йиккузий абаба любимая бабушка; абаба йидажи бабушка ушла; абабадил тIулутI бецIай бабушка испекла хлеб.старая женщина;
5,2,абаба,,ababa,,аппахъус старой женщины); Абабала аппахъус одуванчик,перен. старая женщина. ♦Абабала аппахъус одуванчик (букв. аппахъус старой женщины).
6,1,абадихь,"-лидил, -ла, ед.",abadix,,ццихъжуд абадихь счастливое материнство; абадихьли разил радуясь материнству; аттала юццилдил дамми пакшуд абадихь дакьай тетя стала хорошей матерью для меня (букв; она красиво выполнила материнство),материнство; ццихъжуд абадихь счастливое материнство; абадихьли разил радуясь материнству; аттала юццилдил дамми пакшуд абадихь дакьай тетя стала хорошей матерью для меня (букв.она красиво выполнила материнство).
7,1,абадулла-абадул,вечно,abadulla-abadul,,абадулла-абадул хъуметикквид вечно не забуду; гIяхдихь бакьне абадулла-абадул гьанкалуга совершенное добро все время помнится,абадулла-абадул хъуметикквид вечно не забуду; гIяхдихь бакьне абадулла-абадул гьанкалуга совершенное добро все время помнится (не забывается).
8,1,абатта,"-дил, -ла",abatta,,виккузив абатта любимый дедушка; абаттала урдин орден дедушки; дила абатта дахъе ушкуллив викьул сав мой дедушка долго работает в школе,дедушка (по матери); виккузив абатта любимый дедушка; абаттала урдин орден дедушки; дила абатта дахъе ушкуллив викьул сав мой дедушка долго работает в школе.
9,1,абауцц-е,"-идил, -илла, абауцбе",abaucc-e,,хвалел абауцце старший дядя; абауцце чарсавхе дядя вернулся; ниссила абауцце гIюгъбуган гIячилла гIяхсив уста сав наш дядя хороший мастер по кубачинскому ремеслу,дядя (по матери); хвалел абауцце старший дядя; абауцце чарсавхе дядя вернулся; ниссила абауцце гIюгъбуган гIячилла гIяхсив уста сав наш дядя хороший мастер по кубачинскому ремеслу.
10,1,абахъаллаба // абахъалла аба,"-дил, -ла, абахъаллаабне",abaqallaba // abaqalla aba,,бабушка,бабушка (по матери); см. абаба.
11,1,абахъаллатта // абахъалла  атта,"-дил, -ла, абахъаллаатне",abaqallatta // abaqalla  atta,,,дедушка (по матери); см. абатта.
